company_name,company_number,category,website
Ассоль,+7 (4932) 37-26-09,Салоны красоты,[],Иваново
Студия красоты № 1,+7 (4932) 57-60-40,Салоны красоты,[],Иваново
Парикмахерская Марии Невской,+7 (4932) 34-44-75,Парикмахерские,[],Иваново
АртБьюти,+7 (908) 560-19-96,Салоны красоты,https://artbyuti.ru/?utm_source=yandex_maps,Иваново
Краса,+7 (962) 168-84-07,Салоны красоты,[],Иваново
Xanim,+7 (962) 158-45-85,Салоны красоты,[],Иваново
Зефир,+7 (920) 343-66-41,Салоны красоты,[],Иваново
Амедис бьюти,+7 (909) 249-49-40,Салоны красоты,https://a-medis.ru/,Иваново
Ofamakeup,+7 (915) 842-79-47,Салоны красоты,[],Иваново
Круиз красоты,+7 (4932) 56-70-80,Салоны красоты,[],Иваново
Maratti Beauty,+7 (962) 167-05-15,Салоны красоты,[],Иваново
СветлАнна,+7 (962) 157-90-66,Салоны красоты,[],Иваново
Делаем красиво,+7 (4932) 29-37-86,Салоны красоты,[],Иваново
Км студия,+7 (4932) 50-01-60,Салоны красоты,https://km-studija.clients.site/,Иваново
Grape Studio,+7 (910) 998-50-13,Салоны красоты,[],Иваново
Богема,+7 (4932) 33-20-72,Салоны красоты,[],Иваново
Only Girls,+7 (930) 347-46-58,Салоны красоты,[],Иваново
Glow,+7 (920) 376-85-28,Бьюти-коворкинг,https://glowspace.ru/,Иваново
Мастерская красоты,+7 (920) 357-68-68 (доб. 576868),Салоны красоты,https://dikidi.net/1548912,Иваново
Ezhevika,+7 (910) 992-49-39,Салоны красоты,https://dikidi.app/1464442,Иваново
Breeze,+7 (910) 694-58-31,Салоны красоты,https://dikidi.net/1444602,Иваново
ВЦвет,+7 (901) 037-60-97,Салоны красоты,[],Иваново
Secrethive,+7 (910) 988-50-38,Салоны красоты,https://dikidi.net/1211578,Иваново
Мила,+7 (910) 668-95-77,Салоны красоты,[],Иваново
Изуми,+7 (4932) 34-60-47,Салоны красоты,[],Иваново
Ploika,+7 (915) 834-26-23,Салоны красоты,[],Иваново
Конфетка,+7 (920) 340-66-99,Салоны красоты,[],Иваново
Geoметрия стрижки,+7 (953) 658-17-17,Салоны красоты,[],Иваново
Время стрижки,+7 (4932) 70-03-34,Парикмахерские,https://cuttingtime.ru/drugba,Иваново
Царица,+7 (960) 500-50-18,Салоны красоты,https://taplink.cc/tsaritsa37,Иваново
Жасмин,+7 (4932) 21-50-47,Салоны красоты,[],Иваново
ProLash,+7 (920) 377-33-78,Салоны бровей и ресниц,http://pro-lash.ru/,Иваново
Xanim,+7 (962) 158-45-84,Салоны красоты,[],Иваново
A. M. Studio,+7 (995) 683-89-01,Салоны красоты,[],Иваново
K. Y. K. L. a,+7 (902) 315-46-30,Салоны красоты,https://kykla-salon.ru/?utm_source=yandex_maps,Иваново
НогтеТочка,+7 (910) 983-01-95,Салоны красоты,[],Иваново
Салон красоты,+7 (905) 155-26-02,Парикмахерские,[],Иваново
Семейная,+7 (4932) 53-02-03,Салоны красоты,[],Иваново
Hairstuff,+7 (4932) 20-00-19,Барбершопы,https://barbershop-ivanovo.ru/,Иваново
Версаль,+7 (902) 747-34-09,Салоны красоты,[],Иваново
Азбука красоты,+7 (996) 919-88-67,Салоны красоты,[],Иваново
Студия Екатерины Клюевой,+7 (910) 668-46-25,Салоны красоты,http://ekaterinaklyuevastudio.ru/,Иваново
МакSим,+7 (4932) 20-42-47,Салоны красоты,[],Иваново
Мон Шер,+7 (920) 360-66-17,Салоны красоты,[],Иваново
Medusa,+7 (920) 679-13-97,Салоны красоты,[],Иваново
The Room,+7 (910) 680-38-37,Салоны красоты,https://dikidi.net/352993,Иваново
Harmony beauty,+7 (915) 845-94-05,Салоны бровей и ресниц,[],Иваново
Brow studio by Valeria Remizova,+7 (980) 691-01-24,Салоны красоты,https://dikidi.net/538219,Иваново
Весёлая расчёска,+7 (4932) 57-54-57,Парикмахерские,http://raschyoska.ru/,Иваново
На Суворова,+7 (4932) 30-45-52,Парикмахерские,[],Иваново
Время стрижки,+7 (4932) 70-03-34,Салоны красоты,https://cuttingtime.ru/rio,Иваново
Академия перманентного макияжа Анны Бабашевой,+7 (915) 822-87-73,Салоны красоты,https://akademija-permanentnogo-1724245620.clients.site/?yabizcmpgn=39512705,Иваново
Фрейя,+7 (903) 888-60-36,Салоны красоты,[],Иваново
Wizard Studio by Xenia Anisimova,+7 (920) 671-79-44,Салоны красоты,[],Иваново
Мибьюти,+7 (996) 516-69-05,Салоны красоты,[],Иваново
The Room,+7 (910) 680-38-37,Салоны красоты,[],Иваново
Весна,+7 (4932) 23-64-26,Парикмахерские,[],Иваново
Ell Beauty,+7 (930) 343-12-31,Салоны красоты,https://dikidi.net/1145461,Иваново
Kire,+7 (962) 160-89-08,Салоны красоты,[],Иваново
Be Beauty,+7 (930) 345-67-89,Ногтевые студии,[],Иваново
Home Studio,+7 (960) 512-61-88,Салоны красоты,[],Иваново
Колорист Анна Лебедева,+7 (929) 087-39-75,Салоны красоты,[],Иваново
Арт Эстетик,+7 (964) 495-77-70,Салоны красоты,https://dikidi.ru/1770939,Иваново
Cosmic,+7 (901) 191-43-35,Салоны красоты,https://taplink.cc/maria.cosmic,Иваново
Delete,+7 (4932) 27-00-25,"Эпиляция, депиляция",[],Иваново
Город Красоты,+7 (930) 345-73-71,Салоны красоты,[],Иваново
Лондон,+7 (920) 345-24-48,Салоны красоты,[],Иваново
Студия эстетической косметологии,+7 (905) 105-87-43,Салоны красоты,[],Иваново
Парикмахерская,+7 (901) 038-98-31,Парикмахерские,[],Иваново
Время стрижки,+7 (4932) 70-03-34,Парикмахерские,https://cuttingtime.ru/lenta,Иваново
ЮStyle,+7 (901) 683-63-20,Салоны красоты,[],Иваново
Kolosok,+7 (961) 116-44-53,Салоны красоты,[],Иваново
Anda Nail's & Beauty,+7 (901) 287-22-18,Салоны красоты,[],Иваново
Estel,+7 (995) 128-79-76,Парикмахерские,[],Иваново
Beauty Zone,+7 (915) 820-18-45,Салоны красоты,https://vk.link/clubbeautyzona,Иваново
One Love beauty,+7 (905) 109-36-99,Салоны красоты,[],Иваново
Pro. Красоту,+7 (991) 118-30-78,Салоны красоты,https://pro-krasotu-1707667651.clients.site/,Иваново
ЛакИледи,+7 (910) 680-88-99,Ногтевые студии,[],Иваново
Beauty студия,+7 (960) 505-03-30,Салоны красоты,[],Иваново
Студия красоты YanaVolk,+7 (910) 993-77-85,Салоны красоты,[],Иваново
Gеометрия стрижки,+7 (910) 920-04-00,Парикмахерские,[],Иваново
Студия красоты YanaVolk,+7 (910) 993-77-85,Салоны красоты,[],Иваново
Depilab,+7 (910) 685-10-00,Салоны красоты,https://dikidi.net/56315,Иваново
Джан,+7 (962) 166-69-77,Салоны красоты,[],Иваново
Estetic,+7 (910) 992-20-00,Салоны красоты,[],Иваново
Ивира,+7 (920) 341-06-99,Парикмахерские,[],Иваново
Evseeva Studio,+7 (920) 678-80-09,Салоны красоты,https://dikidi.net/809632,Иваново
Aga,+7 (930) 363-68-88,Салоны красоты,[],Иваново
Наш Стиль,+7 (920) 345-85-73,Салоны красоты,[],Иваново
Elle Belle,+7 (980) 682-07-70,Салоны красоты,https://taplink.cc/ellebelle_style,Иваново
Кабинет эстетики Екатерины Привезенцевой,+7 (910) 698-70-70,Салоны красоты,[],Иваново
Panda,+7 (920) 353-74-72,Салоны бровей и ресниц,https://vk.link/public211325008,Иваново
Катрин,+7 (4932) 53-77-86,Парикмахерские,[],Иваново
Гламур,+7 (4932) 48-46-40,Парикмахерские,[],Иваново
Салон красоты Карины Манукян,+7 (964) 492-19-70,Салоны красоты,[],Иваново
Radana,+7 (930) 342-10-33,Салоны красоты,[],Иваново
Nelya. stylist,+7 (920) 356-36-04,Салоны красоты,[],Иваново
Я на Ресничках,+7 (915) 829-66-18,Салоны красоты,https://dikidi.ru/ru/profile/resni_iv_1151144,Иваново
Office 305,+7 (920) 376-83-98,Салоны красоты,https://vk.link/ksenymm_studio,Иваново
Студия красоты Дарьи Мальцевой,+7 (962) 162-48-04,Салоны красоты,http://maltseva-37.ru/,Иваново
Студия перманентного макияжа и косметологии Буровой Алёны,+7 (902) 315-46-01,Салоны красоты,https://burovoj-aleny-salon.ru/?utm_source=yandex_maps,Иваново
Olala. massage,+7 (901) 286-51-09,Спа-салоны,[],Иваново
Салон красоты,+7 (960) 505-27-61,Салоны красоты,[],Иваново
Perfetto,+7 (920) 674-94-30,Салоны красоты,[],Иваново
Nelya. stylist,+7 (920) 356-36-04,Салоны красоты,[],Иваново
Vilma Salon,+7 (4932) 92-94-25,Салоны красоты,[],Иваново
K. Y. K. L. A,+7 (960) 503-51-71,Салоны красоты,[],Иваново
Браво Маэстро,+7 (980) 685-82-01,Салоны красоты,[],Иваново
