company_name,company_number,category,website,
L. V. Beauty,+7 (906) 294-20-48,Салоны красоты,[],череповец
Венера,+7 (981) 427-10-63,Салоны красоты,https://venera-salon.ru/?utm_source=yandex_maps,череповец
Антураж,+7 (900) 540-05-31,Салоны красоты,[],череповец
Beauty secret,+7 (921) 145-10-02,Салоны красоты,[],череповец
More,+7 (965) 737-73-03,Салоны красоты,[],череповец
Анна,+7 (921) 149-44-70,Салоны красоты,[],череповец
Студия красоты Облака,+7 (921) 138-10-15,Салоны красоты,[],череповец
Muahstudio,+7 (953) 501-70-33,Салоны красоты,http://muahstudio.tilda.ws/,череповец
Perfect studio,+7 (900) 500-60-07,Салоны красоты,[],череповец
Berezovskaya,+7 (900) 508-69-03,Салоны красоты,[],череповец
Sunny afro,+7 (905) 296-58-16,Салоны красоты,[],череповец
LPG,+7 (911) 443-23-31,Салоны красоты,https://dikidi.net/501347,череповец
Микроблейдинг,+7 (964) 670-28-55,Салоны красоты,[],череповец
Luna,+7 (8202) 63-06-08,Салоны красоты,[],череповец
Салон красоты Constant,+7 (962) 669-81-67,Салоны красоты,[],череповец
N & K beauty,+7 (900) 542-31-98,Салоны красоты,[],череповец
Люкс,+7 (911) 443-53-00,Салоны красоты,[],череповец
Simetria,+7 (953) 520-26-20,Салоны красоты,[],череповец
Студия маникюра,+7 (921) 060-59-51,Ногтевые студии,[],череповец
Flamingo,+7 (921) 251-46-82,Салоны красоты,[],череповец
"Студия Кератин, Ботокс",+7 (905) 298-92-50,Салоны красоты,[],череповец
Beauty zone,+7 (911) 547-66-66,Салоны красоты,[],череповец
Мастерская Лебедевой Яны,+7 (921) 257-58-97,Салоны красоты,https://mst.link/lebedevayananail,череповец
Карина Кератин,+7 (964) 661-64-51,Салоны красоты,[],череповец
White&Smile,+7 (911) 541-49-53,Салоны красоты,[],череповец
Студия Перманентного макияжа Юлии Мальцевой,+7 (900) 532-53-16,Салоны красоты,[],череповец
Шугаринг,+7 (911) 045-07-53,Салоны красоты,[],череповец
Творческая мастерская,+7 (911) 505-28-96,Стилисты,[],череповец
Безе,+7 (928) 455-05-24,Салоны красоты,[],череповец
