company_name,company_number,category,website
Ваш стиль,+7 (988) 236-42-00,Салоны красоты,[],Сочи
Триумф,+7 (918) 032-21-83,Салоны красоты,https://salontriumfsochi.tilda.ws/,Сочи
Beauty and SPA Bioline JaTo,+7 (928) 445-30-10,Салоны красоты,[],Сочи
Urban by Alina Shurinova,+7 (962) 889-62-93,Салоны красоты,[],Сочи
Мастерская красоты,+7 (988) 156-63-78,Парикмахерские,[],Сочи
Боди студио,+7 (988) 507-81-11,Салоны красоты,https://body-studio.ru/?utm_source=yandex_maps,Сочи
Am Style,+7 (918) 309-65-98,Салоны красоты,[],Сочи
Ювина,+7 (965) 478-21-72,Салоны красоты,[],Сочи
Beauty expert,+7 (988) 185-70-70,Салоны красоты,[],Сочи
Рось,+7 (862) 254-40-55,Парикмахерские,[],Сочи
Stars Nails,+7 (938) 445-35-55,Ногтевые студии,http://starsnails.ru/,Сочи
Салон красоты,+7 (918) 305-39-00,Салоны красоты,[],Сочи
Gera professional,+7 (965) 481-55-87,Парикмахерские,[],Сочи
Moon Space,+7 (993) 323-62-55,Салоны красоты,[],Сочи
Новый Образ,+7 (988) 183-88-02,Салоны красоты,[],Сочи
Iris,+7 (999) 652-00-06,Салоны красоты,https://taplink.cc/iris_salon_sochi,Сочи
Дуэт,+7 (918) 202-57-17,Салоны красоты,[],Сочи
Hair bar by Kristi,+7 (988) 164-66-88,Салоны красоты,[],Сочи
Amore,+7 (967) 641-18-57,Салоны красоты,[],Сочи
Var Savir,+7 (988) 142-55-75,Салоны красоты,[],Сочи
Mikael Rafo,+7 (862) 237-66-36,Салоны красоты,[],Сочи
Best Body,+7 (928) 234-08-72,Салоны красоты,[],Сочи
Опера,+7 (965) 517-49-21,Салоны красоты,[],Сочи
Лилит,+7 (967) 326-36-04,Салоны красоты,[],Сочи
Саншайн,+7 (999) 631-75-19,Салоны красоты,[],Сочи
Эксперт красоты,+7 (965) 467-95-59,Салоны красоты,[],Сочи
M’hair studio,+7 (966) 777-34-43,Наращивание волос,[],Сочи
Gossi Choice,+7 (918) 205-71-98 (доб. +79010068709),Салоны красоты,[],Сочи
Рось,+7 (862) 268-35-49,Парикмахерские,[],Сочи
Preslife,+7 (918) 180-00-99,Массажисты,https://preslife.ru/,Сочи
Vleto studio,+7 (929) 928-20-04,Салоны красоты,https://vletostudio.ru/,Сочи
Lima nails,+7 (964) 948-08-08,Салоны красоты,[],Сочи
Вселенная красоты,+7 (862) 260-91-01,Спа-салоны,https://rzdz.ru/ru/facilities/ok-spa-vselennaya-krasoty?utm_content=main&utm_medium=link&utm_source=yasprav,Сочи
Preslife,+7 (918) 180-00-99,Массажисты,https://preslife.ru/,Сочи
Vleto studio,+7 (929) 928-20-04,Салоны красоты,https://vletostudio.ru/,Сочи
Студия красоты,+7 (988) 153-14-02,Салоны красоты,[],Сочи
Стрекоза,+7 (999) 656-74-88,Салоны красоты,https://www.wildberries.ru/,Сочи
Surprisebeauty,+7 (902) 363-72-58,Салоны красоты,[],Сочи
Салон красоты,+7 (962) 888-59-25,Салоны красоты,https://vitabelousova.ru/,Сочи
Династия,+7 (918) 303-11-81,Салоны красоты,[],Сочи
Салончик у пальмы,+7 (905) 977-68-24,Салоны красоты,[],Сочи
Mr. Cholkin,+7 (968) 300-28-28,Барбершопы,https://barbershop-cholkin.clients.site/,Сочи
Studio 01,+7 (988) 144-23-42,Салоны красоты,[],Сочи
Студия красоты Алины Щербатюк,+7 (995) 319-05-05,Салоны красоты,[],Сочи
Valentina beauty nails,+7 (951) 437-34-13,Салоны красоты,https://dikidi.net/641087,Сочи
Салон красоты,+7 (992) 205-35-39,Салоны красоты,[],Сочи
Колорист,+7 (918) 403-36-34,Салоны красоты,http://mycolorbar.ru/,Сочи
9 Небо,+7 (918) 918-02-72,Массажисты,[],Сочи
Make up,+7 (988) 141-76-10,Салоны красоты,[],Сочи
Body Lounge,+7 (918) 021-17-91,Салоны красоты,https://body-lounge.ru/,Сочи
Студия красоты,+7 (963) 164-20-99,Салоны красоты,[],Сочи
Леди Жанна,+7 (988) 401-43-28,Салоны красоты,[],Сочи
Viola,+7 (988) 416-35-31,Салоны красоты,[],Сочи
Леди Жанна,+7 (988) 401-43-28,Салоны красоты,[],Сочи
Koen Studio,+7 (938) 451-76-04,"Эпиляция, депиляция",https://koen-studio.clients.site/,Сочи
Салон красоты,+7 (995) 347-17-02,Салоны красоты,[],Сочи
Madam Kaktus,+7 (916) 140-27-44,Салоны красоты,[],Сочи
Мир Катрин,+7 (918) 008-59-59,Парикмахерские,[],Сочи
Permanent Makeup № 1,+7 (988) 236-46-96,Салоны красоты,[],Сочи
Комплимент+,+7 (988) 187-43-44,Косметология,https://vk.link/complimentplus,Сочи
Студия красоты,+7 (910) 758-77-36,Салоны красоты,[],Сочи
Парикмахерская,+7 (988) 285-07-67,Салоны красоты,[],Сочи
Плазма,+7 (927) 505-26-46,Салоны красоты,https://студияплазма.рф/,Сочи
Центр Колористики Сусанны Устян,+7 (928) 446-34-36,Парикмахерские,https://centr-coloristiki.clients.site/,Сочи
Marina Monkini,+7 (928) 451-24-21,Салоны красоты,[],Сочи
Cross Check,+7 (967) 321-20-20,Барбершопы,https://dikidi.net/204909,Сочи
Нефертити,+7 (989) 751-61-20,Салоны красоты,[],Сочи
Home Studio Lion,+7 (963) 162-13-65,Салоны красоты,[],Сочи
ВерсАль,+7 (918) 304-36-25,Парикмахерские,[],Сочи
ONLYyou,+7 (993) 769-74-66,Салоны красоты,[],Сочи
Ногти здесь,+7 (938) 906-98-69,Ногтевые студии,[],Сочи
Салон красоты,+7 (988) 413-35-78,Салоны красоты,[],Сочи
Надежда,+7 (862) 253-41-76,Парикмахерские,[],Сочи
Салон красоты,+7 (918) 109-72-62,Салоны красоты,[],Сочи
Штрих код,+7 (988) 189-77-88,Салоны красоты,[],Сочи
Brow VI studio,+7 (962) 887-71-37,Салоны бровей и ресниц,[],Сочи
Magic Lazer,+7 (918) 308-07-39,"Эпиляция, депиляция",https://magic-lazer-ulitsa-truda.clients.site/,Сочи
Рось,+7 (862) 255-50-24,Парикмахерские,[],Сочи
Magic Lazer,+7 (918) 308-07-39,"Эпиляция, депиляция",https://magic-lazer-ulitsa-truda.clients.site/,Сочи
Karoline. Braids,+7 (995) 101-33-80,Салоны красоты,[],Сочи
MiruMir beauty,+7 (918) 903-01-00,Салоны красоты,[],Сочи
Эксперт красоты,+7 (965) 467-95-59,Салоны красоты,[],Сочи
Afro stile,+7 (937) 399-36-69,Салоны красоты,[],Сочи
New Body,+7 (964) 944-04-64,Салоны красоты,[],Сочи
New Body,+7 (964) 944-04-64,Салоны красоты,[],Сочи
Wow brow,+7 (928) 851-22-86,Салоны красоты,[],Сочи
Brown's house,+7 (999) 655-49-99,Салоны красоты,http://brownhouse.ru/,Сочи
Sochi_nailroom,+7 (938) 447-11-17,Ногтевые студии,[],Сочи
Крис Мэй,+7 (918) 403-56-06,Салоны красоты,[],Сочи
Lovenir,+7 (927) 306-30-34,Салоны красоты,https://razilya-salon.ru/,Сочи
Маникюр Сочи Nogotsochi,+7 (961) 537-62-72,Ногтевые студии,[],Сочи
"Виктория Руффо, студия для избранных",+7 (964) 942-24-85,Салоны красоты,[],Сочи
Lara style,+7 (918) 905-82-23,Салоны красоты,[],Сочи
Наращивание ресниц в Сочи,+7 (918) 908-43-18,Салоны бровей и ресниц,[],Сочи
Ek beauty house,+7 (988) 285-75-85,Салоны красоты,[],Сочи
Парикмахерская,+7 (918) 613-33-12,Парикмахерские,[],Сочи
Pink Doll,+7 (995) 210-10-58,Салоны красоты,http://pinkdoll.ru/,Сочи
Caviar,+7 (938) 400-75-74,Салоны красоты,[],Сочи
Beauty Club,+7 (918) 000-10-90,Салоны красоты,[],Сочи
Mazur lashes,+7 (901) 246-85-04,Салоны бровей и ресниц,https://mazur-lashes.ru/?utm_source=yandex_maps,Сочи
Студия волос Алёны Гриб,+7 (989) 085-57-48,Салоны красоты,[],Сочи
Коса Борода,+7 (928) 451-10-00,Барбершопы,https://kosa-boroda.ru/,Сочи
Нимфа,+7 (989) 167-82-04,Салоны красоты,[],Сочи
Школа маникюра,+7 (938) 492-87-88,Салоны красоты,[],Сочи
Студия коррекции фигуры,+7 (988) 150-03-03,Массажисты,[],Сочи
Chante,+7 (918) 903-76-76,Салоны красоты,[],Сочи
Rina,+7 (965) 477-09-25,Салоны красоты,[],Сочи
Make Up,+7 (918) 915-38-98,Салоны красоты,[],Сочи
Kuznetsova Lashes,+7 (918) 891-09-15,Салоны красоты,https://taplink.cc/kuznetsova_lashes_,Сочи
Best Face,+7 (995) 006-81-81,Салоны красоты,[],Сочи
Ваш перманент,+7 (918) 007-12-04,Салоны красоты,[],Сочи
Маникюр Педикюр,+7 (988) 144-04-50,Ногтевые студии,[],Сочи
Студия восковой депиляции Waxtime,+7 (988) 404-54-30,Шугаринг,[],Сочи
Tushinett,+7 (918) 901-52-16,Салоны красоты,[],Сочи
Dmk Lab,+7 (964) 944-10-00,Ногтевые студии,[],Сочи
Моментальный Голливудский Загар,+7 (918) 858-88-55,Солярии,[],Сочи
Жемчужина,8 (800) 200-12-88,Гостиницы,http://zhem.ru/,Сочи
Отель Сочи,+7 (862) 555-28-82,Гостиницы,https://sochi-magnolia.ru/,Сочи
Марианна,+7 (989) 260-05-00,Гостиницы,http://hotel-marianna.ru/,Сочи
Магнолия,+7 (862) 555-28-82,Гостиницы,http://magnoliahotel.sochi-magnolia.ru/,Сочи
City Park Hotel Sochi,8 (800) 555-30-82,Гостиницы,https://cph-sochi.com/,Сочи
Чеботарёвъ,8 (800) 301-12-48,Гостиницы,http://hotel-chebotarev.ru/?rs=2gis&utm_campaign=2gis&utm_medium=cpm&utm_source=maps,Сочи
Мирит,+7 (916) 727-17-65,Гостиницы,https://sochimirit.ru/,Сочи
Полёт Чайки,+7 (862) 233-60-50,Гостиницы,https://chaykasochi.ru/,Сочи
